color_code,MIN_zika,MAX_zika,RANGE_zika,MEAN_zika,MEDIAN_zika,PCT90_zika,MIN_dengue2015,MAX_dengue2015,RANGE_dengue2015,MEAN_dengue2015,MEDIAN_dengue2015,PCT90_dengue2015,MIN_dengue2050,MAX_dengue2050,RANGE_dengue2050,MEAN_dengue2050,MEDIAN_dengue2050,PCT90_dengue2050
LBR,0,0.989745438,0.989745438,0.667944909,0.734347939,0.882683122,0.457620472,0.955192626,0.497572154,0.771754689,0.790882409,0.855393541,0.550137502,0.955693854,0.405556353,0.826538524,0.833401106,0.865779796
RWA,0,0.990464091,0.990464091,0.355290775,0.397887856,0.783112586,0,0.612452924,0.612452924,0.04643766,0,0.175636008,0,0.918524995,0.918524995,0.129976713,0.077107946,0.341195039
NIC,0,0.988315582,0.988315582,0.535722409,0.546928048,0.827014804,0,0.966880798,0.966880798,0.770231262,0.817822695,0.877682984,0,0.964485385,0.964485385,0.778854038,0.819033612,0.883328524
MOZ,0,0.986361504,0.986361504,0.380570909,0.338669315,0.758123618,0,0.959456742,0.959456742,0.671145726,0.723278463,0.856685579,0,0.964723019,0.964723019,0.759254158,0.806695157,0.867219578
MLT,0,0,0,0,0,0,0,0.638237894,0.638237894,0.397689024,0.415961683,0.567707002,0,0.62132505,0.62132505,0.361235105,0.370187309,0.604880766
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,0,0.86686188,0.86686188,0.000455992,0,0,0,0.829909444,0.829909444,0.058932947,0,0.179013588,0,0.886703959,0.886703959,0.066750863,0.031213885,0.187572988
LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWE,0,0.83935976,0.83935976,0.027883755,0,0.107617274,0,0.870548546,0.870548546,0.22531167,0.172467366,0.530688524,0,0.886009949,0.886009949,0.397259127,0.382210329,0.73981518
SGP,0,0.989684761,0.989684761,0.922188876,0.973631054,0.988739496,0.651969552,0.919007063,0.267037511,0.758178152,0.776193261,0.825341475,0.650420518,0.919721162,0.269300643,0.760197459,0.761130083,0.827049569
UGA,0,0.990717292,0.990717292,0.504457563,0.56636259,0.8022057,0,0.95121944,0.95121944,0.495403064,0.473233506,0.779746985,0,0.943156291,0.943156291,0.553285819,0.617228738,0.812868134
UZB,0,0.006233398,0.006233398,2.23772181e-07,0,0,0,0.58188957,0.58188957,0.014228813,0,0.052174853,0,0.544365586,0.544365586,0.012364051,0,0.042792249
IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,0,0.861846805,0.861846805,0.00914821,0.007927162,0.012628382,0,0.950644076,0.950644076,0.548110029,0.582903504,0.812101007,0,0.940690109,0.940690109,0.603317151,0.632235625,0.841232748
ARG,0,0.990941525,0.990941525,0.028426471,0,0,0,0.933828592,0.933828592,0.129213765,0,0.480888575,0,0.934913605,0.934913605,0.150294115,0,0.625406971
COG,0,0.990692079,0.990692079,0.819453129,0.833296001,0.873229682,0.261854231,0.968374431,0.7065202,0.696791708,0.753717691,0.878133982,0.290128804,0.961350612,0.671221808,0.807652513,0.844422738,0.894942051
BHS,0,0.97249186,0.97249186,0.243747103,0.205866367,0.671722949,0.760992348,0.931986272,0.170993924,0.901566716,0.904300332,0.92171523,0.763507961,0.935788256,0.172280295,0.900797562,0.905721085,0.930397181
CHL,0,0,0,0,0,0,0,0.46560362,0.46560362,0.000883012,0,0,0,0.714476233,0.714476233,0.001043839,0,0
GIN,0,0.988492906,0.988492906,0.683960113,0.752623498,0.899177551,0,0.968426406,0.968426406,0.766896414,0.782185346,0.8503111,0,0.96032842,0.96032842,0.788241655,0.805567405,0.856246171
KNA,0,0.575668633,0.575668633,0.273674543,0.299879402,0.544596493,0,0.906420469,0.906420469,0.725347136,0.838815451,0.872467601,0,0.919890033,0.919890033,0.751363454,0.848705552,0.91870332
SLB,0,0.903469563,0.903469563,0.282301267,0.208779387,0.603843087,0,0.912426472,0.912426472,0.760670339,0.76909405,0.854608059,0,0.916526525,0.916526525,0.768679793,0.775850447,0.861349862
LCA,0.512685776,0.989102721,0.476416945,0.745193764,0.721496254,0.905816793,0.717496395,0.909134865,0.19163847,0.841122721,0.842513591,0.877175063,0.78606695,0.896568864,0.110501914,0.843711186,0.84042056,0.871401293
TKM,0,0,0,0,0,0,0,0.717060626,0.717060626,0.031692017,0,0.09960662,0,0.76002754,0.76002754,0.029865846,0,0.07993903
SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426603474,0.426603474,0.004242104,0,0
